,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
89,over,1 - NGSL,89334,0.0013287997404456988,0.6505369199386153,,
90,call,1 - NGSL,88921,0.0013226565665947116,0.65185957650521,,
91,give,1 - NGSL,87917,0.0013077225555865012,0.6531672990607965,,
92,any,1 - NGSL,87563,0.0013024569779999408,0.6544697560387964,,
93,than,1 - NGSL,87520,0.0013018173739428162,0.6557715734127393,,
94,day,1 - NGSL,85946,0.0012784048905494663,0.6570499783032887,,
95,kind,1 - NGSL,85843,0.0012768728157149585,0.6583268511190037,,
96,first,1 - NGSL,84634,0.0012588895295506891,0.6595857406485544,,
97,down,1 - NGSL,80962,0.0012042703179748434,0.6607900109665292,,
98,also,1 - NGSL,80891,0.0012032142275549401,0.6619932251940842,,
99,tell,1 - NGSL,80289,0.0011942597707551962,0.6631874849648394,,
100,need,1 - NGSL,79348,0.001180262854063238,0.6643677478189026,,
101,try,1 - NGSL,78185,0.0011629637954949622,0.6655307116143976,,
102,put,1 - NGSL,77964,0.001159676528131601,0.6666903881425292,,
103,actually,1 - NGSL,73405,0.0010918636235634418,0.6677822517660926,,
104,only,1 - NGSL,73373,0.0010913876391488375,0.6688736394052415,,
105,yeah,1 - NGSL,72423,0.0010772568518402717,0.6699508962570817,,
106,sort,1 - NGSL,69556,0.001034611623194316,0.670985507880276,,
107,should,1 - NGSL,69124,0.0010281858335971577,0.6720136937138732,,
108,last,1 - NGSL,68805,0.0010234408639640709,0.6730371345778373,,
109,even,1 - NGSL,68505,0.0010189785100771552,0.6740561130879145,,
110,let,1 - NGSL,67535,0.0010045502325094619,0.6750606633204239,,
111,little,1 - NGSL,67480,0.0010037321342968605,0.6760643954547207,,
112,today,1 - NGSL,67474,0.0010036428872191223,0.6770680383419398,,
113,find,1 - NGSL,67327,0.0010014563338145337,0.6780694946757544,,
114,new,1 - NGSL,66931,0.0009955660266838054,0.6790650607024382,,
115,why,1 - NGSL,66121,0.0009835176711891335,0.6800485783736273,,
116,many,1 - NGSL,64853,0.0009646567887604372,0.6810132351623878,,
117,thank,1 - NGSL,63207,0.0009401733404342275,0.681953408502822,,
118,after,1 - NGSL,61241,0.0009109300479619746,0.682864338550784,,
119,still,1 - NGSL,61017,0.0009075981570597444,0.6837719367078438,,
120,most,1 - NGSL,60391,0.0008982867119490473,0.6846702234197928,,
121,through,1 - NGSL,59673,0.0008876068116463628,0.6855578302314391,,
122,question,1 - NGSL,59080,0.0008787862254632265,0.6864366164569023,,
123,start,1 - NGSL,59035,0.0008781168723801892,0.6873147333292825,,
124,point,1 - NGSL,58964,0.0008770607819602858,0.6881917941112428,,
125,happen,1 - NGSL,58100,0.0008642092027659693,0.6890560033140087,,
126,off,1 - NGSL,57556,0.0008561174677176958,0.6899121207817265,,
127,feel,1 - NGSL,56765,0.0008443517279691953,0.6907564725096956,,
128,big,1 - NGSL,56698,0.0008433551356011174,0.6915998276452967,,
129,before,1 - NGSL,55518,0.0008258032103125832,0.6924256308556093,,
130,too,1 - NGSL,54790,0.0008149745648803349,0.6932406054204896,,
131,country,1 - NGSL,54497,0.000810616332584114,0.6940512217530738,,
132,week,1 - NGSL,54290,0.0008075373084021424,0.6948587590614759,,
133,hear,1 - NGSL,53709,0.0007988952163744827,0.6956576542778503,,
134,problem,1 - NGSL,53381,0.0007940163761247884,0.6964516706539751,,
135,part,1 - NGSL,53156,0.0007906696107096017,0.6972423402646847,,
136,laugh,1 - NGSL,52881,0.0007865791196465958,0.6980289193843313,,
137,ask,1 - NGSL,51583,0.0007672720018292081,0.6987961913861606,,
138,long,1 - NGSL,50570,0.0007522041202043901,0.6995483955063649,,
139,issue,1 - NGSL,50549,0.000751891755432306,0.7003002872617973,,
140,change,1 - NGSL,48922,0.0007276909228522676,0.7010279781846496,,
